country,city,gender_ratio,macro_areas,share_pop_green,pct_open_space,built_up_area_percap,night_light_em,pm25_concentration,area,pop_density,gdp_per_pers,gender_equality_index,k_avg,grade_mean,orientation_order,prop_3way,straightness,bike_lane_area_prop,maxspeed_area_prop,latitudine,longitudine,macro_areas1
Italy,Venice,0.09153552475258424,Italy,0.0422637226815,69.19,147.304130799,11.806802995,28.43595,36.0,2091.712329077777,8697.718649177043,0.7070000000000001,2.774487471526196,0.0244220032840722,0.2819735810954971,0.7334851936218679,0.9221149263557388,0.014899414709550132,0.2114106291446267,45.4241363596,12.3453046286,Europe
Finland,Helsinki,0.09338629450232792,Other Europe,0.36810918542099996,65.97,128.99789143799998,40.504312895,6.88793,344.0,2637.7487899912794,18877.223057785726,0.8320000000000001,2.7405906551237185,0.0637897661080742,0.014305153795026,0.5594032050101307,0.9428163898118488,1.1671471119458117,0.4496334758721464,60.2235868261,24.936916253099998,Europe
Germany,Stuttgart,0.09827468125449576,Other Europe,0.514079660057,75.91,174.580021773,14.919751323,15.97995,330.0,2987.9944142454547,24531.73940543052,0.787,2.732410611303345,0.0372943320925591,0.0293649269810035,0.6584879941281325,0.942574752494736,0.057907790452854664,0.5965720931365603,48.806706041800005,9.202667574269999,Europe
Belgium,Ghent,0.0998184204482065,Benelux,0.480908819129,61.71,407.644594716,24.021826735999998,15.3967,147.0,1793.4922940000001,18417.661658770085,0.75,2.7607116011024804,0.016899800326738,0.0111702565202034,0.7295164119268354,0.9341390231349082,0.3118347273576119,0.3691569596679261,51.085774388500006,3.7482495918199996,Europe
UK,Sheffield,0.10072945802477164,UK,0.5033374954290001,72.35,199.53552569299998,16.700038947,11.4666,247.0,2875.599590923077,15328.633698745507,0.767,2.4256296950950067,0.0538604896888435,0.001304890205087,0.6384003535130358,0.9467345665956826,0.06046576032426771,0.03955272910613839,53.388841004700005,-1.41789038688,Europe
Czech Republic,Prague,0.1053611691909144,Other Europe,0.39114782761100003,62.23,147.570090247,26.87992959,19.08405,295.0,3819.2566377627118,32710.266514495568,0.706,2.832535885167464,0.0397946740858505,0.0634431925207185,0.6213340838727835,0.9399986202857864,0.13281547765599866,0.16403110099988186,50.0720521251,14.4535895988,Europe
UK,Reading,0.11090109748555592,UK,0.552138917028,74.66,194.24502581099998,19.539358152000002,13.2061,73.0,3342.170635739726,24493.65954665314,0.767,2.279283034597749,0.0237863935625457,0.0108915121222409,0.6032721967486453,0.9432339860974408,0.16972231737241755,0.14689507244576294,51.4498377764,-0.971779130705,Europe
UK,Plymouth,0.11265394819756155,UK,0.521856863894,69.74,200.02478819700002,17.294649843,11.01575,88.0,3000.521921943182,18673.832451148028,0.767,2.3844197873324093,0.0503646146388754,0.0217957958071658,0.6271382339343504,0.9337495448731484,0.10527387032156654,0.04523060097666744,50.3903083794,-4.12501543415,Europe
Austria,Vienna,0.11423288452344775,Other Europe,0.377124766055,54.69,133.035209374,21.338534822,22.04765,392.0,4736.417201581633,28083.242595628,0.7440000000000001,2.95816898484534,0.0316634618758552,0.04335415854409,0.6143346481212373,0.9592710898181602,0.3082318843991892,0.5521718150855366,48.1984081854,16.3839758661,Europe
US,Phoenix,0.11483993040654135,US,0.0170553023226,27.31,463.69682199199997,34.297982839,12.28,2304.0,1567.5249498828125,32038.021612336488,0.7240000000000001,2.807224790275637,0.0154629505397328,0.5459636716933416,0.625808936825886,0.9238230145563732,0.12660161917786153,0.0013006270242654275,33.4775600632,-112.000536897,US
UK,Southampton,0.11540412546013287,UK,0.539696286226,63.99,186.567149735,14.846028369,12.2497,114.0,2983.695856175438,25284.988344647303,0.767,2.3079222720478327,0.0260400030478512,0.0036535232305761,0.606963861777895,0.9425339607594736,0.13069195495182395,0.046495633800303096,50.9081997185,-1.40041266505,Europe
Netherlands,Rotterdam/The Hague,0.11716192504770792,Benelux,0.357765979499,43.78,219.17512479299998,82.469856588,14.872,658.0,2908.644677340425,23900.984740493863,0.736,2.8119068695061453,0.0157033691084527,0.041971161864554,0.6471581200979888,0.92794180288601,0.4220785782019209,0.3658796190572171,51.910026332799994,4.476586801130001,Europe
Sweden,Stockholm,0.1172703229605329,Other Europe,0.558579003771,75.75,120.95129848100001,44.869550993999994,6.239240000000001,361.0,3615.1695571468144,26712.125187330963,0.82,2.653459337610543,0.0291804280346348,0.0039365608543358,0.6312640887809953,0.916245885787334,0.5335159266371142,0.4694536940613799,59.331572754700005,18.0005502921,Europe
Ireland,Dublin,0.11807324286966428,Other Europe,0.445050107999,59.65,174.18540950599998,31.84990645,8.90202,300.0,3347.5424831666664,31125.081460187244,0.7979999999999999,2.3719235577781745,0.0201851751453269,0.0136373406391627,0.6160028576531523,0.932812125478815,0.12558312963880605,0.4515157486942992,53.3273311679,-6.26172818801,Europe
UK,Leeds,0.11971527395517025,UK,0.505123996205,76.06,191.93420753900003,23.896933505,10.95495,472.0,2774.371650211864,15761.59205856656,0.767,2.3818059874397903,0.0479257969827292,0.0030095983874773,0.6081742983151434,0.9427548398214678,0.07157514006225481,0.04443989936737287,53.7673432252,-1.62223495919,Europe
UK,Derby,0.1215112405057482,UK,0.321811326848,54.66,175.27109901400001,23.636101904,13.505999999999998,83.0,3116.970191313253,14670.072998580183,0.767,2.325755853603092,0.0311908904310429,0.0061762788225903,0.6228688338258696,0.9424145826695988,0.13770344334553852,0.030683509568356467,52.912916150600005,-1.4678582541,Europe
